key_index,text,overall
150924,"This dress fit like a glove! I love it! It fit all my curves and was a sexy dinner option. My boyfriend loved it too! :D The material was comfortable, thick and soft to touch. Not itchy at all and I was able to move around with ease with this dress. It also came way before the time that it was expected to. Two thumbs up!",5
420687,"I read the other reviews on this jacket ,so I ordered a 2xl ...it's more like an XL the sleeves hang down past my finger tips ..but the thing nobody seemed to mention was that the zipper is on the left side of the jacket ,I grew up thinking this as a woman's jacket ?? It's not a deal breaker but sure is awkward to try and zip .....",2
59030,"Super cool looking wallet. I've been a huge comic book fan for 30+ years, so i was excited to use this wallet. It looks awesome, but it did not hold up at all inside. The interior material with the comic book print is very flimsy, and after about 7 months of use it fell apart. I didn't have an excessive number of cards in the wallet, it just was cheaply made. So, it looks awesome, but it's great for everyday use.",3
355574,"These reading glasses are nice, their lens do not distort print as some other types of lens tend to do.
The one thing that is less than satisfactory is the ear pieces are not long enough for me, barely reach my ears.
Other than that the glasses are worth the price and look nice too.",5
653215,"This skirt is quite nice. I enjoy wearing it but one thing could be improved is the stretchy liner underneath. It tends to ride up a bit. I haven't done it yet, but may eventually just remove the liner and wear a regular slip underneath. But overall this floral green design is wonderful.",4
467765,Just got my sabertooth patch. I really really like it a lot has to be the baddest patch I've seen. The real thing looks better than the picture. One thing I must point out to buyers; it does not come with the loop backing only one side only the hook side. I wish that it had as another patch I ordered because now I must find black hook and loop to stick it on my BDU sleeve. I can't deduct any stars for this but want folks to know.,5
855234,This product fit very well. I am usually a size 18 so I ordered an XXL and it fit great. I am also only 5'2 and the dress hit shortly below my knees. This also accents my form very well. I bought this product at a deeply discounted price. This dress also is of great quality and a great buy!,5
822273,"Bottoms are thin and cheap, not flattering, and single lined so they are super thin. TOP is great though, nice thick fabric, sturdy straps (i was really bummed to find out they were not removable straps). Fit was a little big, could definitely have ordered smaller, but since its a tie-closure I can tie it to fit well enough. Also the fringe hangs nicely and does not roll.",5
204654,"The dress fits exactly as I expected!  I am more on the petite size, and typically wear a size 6 or small/medium in most clothing.  I ordered a size medium and it fit perfectly.  Great value for the $$.  And, it was also delivered speedy quick.",5
831369,"I am surprised at how nice this looks, being that I spent $12 on it. The Mermaid portion is darker than the picture portrays, but it's still very nice. Got it for my Caribbean Cruise and I think it will be perfect. I bought a large, and I have a 27 inch waist, 34DDD, size 4-6 in US sizes. These are Asian sizes so be aware that you may need to size up.",5
84758,It's exactly what I wanted when I placed my order and it's exactly what I got. The picture is accurate and the magnets are incredibly strong. I was a little concerned at first with the magnets but when it arrived and I put it on and had trouble getting it off I knew we'd be fine.,5
873371,"Buying this watch, I wasn't sure how good it would be, as it had no reviews written. But now, as I have got my order, I am so content with my purchase. The watch is even better than the one shown on the picture. It works very well, and shines. I truly recommend",5
757490,"What I received is not what I was expecting. I purchased a product that was supposed to be a knit lace shirt with bell sleeves. The sleeves have no flare to them at all. I wanted to use this under a corset/dress for the sleeves to dress it up a bit more and I would have been further ahead to make my own.

The sizing is off, too. It makes me look like a sausage in lace.",1
24548,QUALITY MADE JACKET LIKE I REMEMERED IT THE LINER FROM ALPHA COULD BE A LITTLE THICKER BUT THEN AGAIN I WOULD CONSIDER THIS A FALL OR EARLY SPRING JACKET DELIVERY WAS SUPER FAST  ONE THING A BUTTON OR VELCRO INSERT SHOULD BE USED TO KEEP THE ARMS OF THE ALPHA LINER IN PLACE OTHER WISE A GREAT BUY,5
79972,"Even though I did order this online, it feels like someone came into my room in the middle of the night and got my measurements while I slept peacefully. Nice and snug in all the right complimentary places and enough room in the areas needed for exercise. Get these in every color. I would marry the man that created these clothes if I could!",5
788935,"I really love this ring. Its smooth on the inside and fits nicely. The domed shape of the outside gives a nice look as well. Most important of all, my wife loves it on me. A 10mm ring is quite thick however, so make sure that is the look you are after. I'm a tall guy with long fingers so it works for me.",5
572666,I purchased the medical blue dress for my girlfriend so we could have tng outfits and it looks great in her. The only problem was her bust is bigger than the xl dress allows for. If possible I'd recommend getting a size bigger just in case but other than that she's very pleased with the product,4
113521,It was beautiful and just what i expected but right when i tried to put it on the strap from one of the arms ripped off. Noce item cheap material my halloween costume broke the first time i was gonna try it on.......... guess im not gonna be a butterfly this year,3
35119,"The first thing to know about these glasses is that these are full-sized frames and not the type that you wear down on your nose and look over.  The fit and finish are okay but they are a little tight.  If you have a wide head, they may be uncomfortable.",3
690641,"I thought these were so cute and bought them as a gift for my daughter. I was disappointed when I received the earrings from this vendor,leaf heart. The dog had a flat finish as compared to the bone, and it was slightly smaller with a dot for an eye which did not appear on the picture. It did not seem to be a matching set and the dog also appeared tarnished.",1
376935,"Nice belt, nice price. The loose end keeper is not attached so I have to hunt it down everyday, but that is the only issue I have had. I carry a weapon almost everyday and the belt holds it without slipping and does not loosen up.

I have seen belts that are very similar to this belt for over $30 each, get two of these and still have money in your pocket and a nice belt on your waist.",4
327845,I wear a size 7 3/8 hat. I would have liked the Mask bigger. It is kid of tight on my head. Now some people did like smell of the Mask. That is true. It does have a strong old motor oil smell. They need to fix that. Maybe that is why the price is cheap. I washed mine with dishwater soap and that helped somewhat.,3
378191,"The person who ordered the dress didn't like it. She said it had some tail thing popping out on the back. The corset looked odd on her. She said the boob part was too big. These complaints are consistent with other reviews. But hey, maybe you get lucky with a good dress? Who knows.",1
24192,"These boxes were the perfect fit for the necklaces I'm selling. They are a lovely and professional silver  with cotton already in them to make whatever you are placing in them look their best. If you are giving gifts, or selling merchandise, I would order these boxes, because you can't beat these prices or the promptness of their delivery.",5
476328,"I've gotten so many compliments on this sweater, & I've only worn it twice now.~
The only reason this beauty is getting a 4-star review is because the finish is a bit messy; there's a few snags & frayed pieces here & there, but nothing I wasn't able to fix with a needle & patience.

DEFINITELY worth the price I paid.",4
90155,"This watch is awsome for the price, i don't wear watchs or jewlery but i love led and neon lighted stuff. The watch leds are very bright and you can even set it to light up automatically from every 5 - 30 min. The time keeping seemed to be off atad bit maybe 5 minutes not sure if it a way to adjust the speed or not but its a heavy watch looks like most of those timex type watches hey fo 14 bucks cant beat it .",5
423105,"I ordered this as a gift for  my husband.  I think this is the best of my bargains  all year.  Not only is this a perfect fit, it suits his style just fine.
We have not washed it and are not concerned with the care of this product.  After all it is a Scully.",5
262688,I would give it a 5 star rating if the padding in the bralett didn't move so easy. Other than that I love it ! Great fabric. I weigh 150lb and it makes me feel sexy ! The straps are comfy as well ! Wore it for a few hours and I forgot I had it on. :),4
57963,"My son is 5 months old and around 17 pounds, about 27-28 inches. He is wearing 6 month sized clothes, so I got 6-12 months. It fit him perfectly, but if you have a baby closer to 12 months it may be too small. It was a perfect outfit and I highly recommend it, but would advise maybe picking a size bigger.",5
10016,"I loved these as a kid and decided to give them a shot as an adult and they are just as cool as when I was a kid. Great fit to. We will see if the build quality holds up like they did when I was a kid. My guess is no, but we will see.",5
764312,This is extremely cute  and even cuter in person! It's the perfect size for carry-on and I can't wait to take it on my next trip. I use it when I have to go housesit and it fits all of my stuff and also when I go road tripping! I haven't had any issues yet! What a great product,5
50878,"After less than two weeks of using this as directed the band is constantly scrunching up in the middle and riding up. The scrunching is so bad that there are now permanent ridges in the middle of the band. I really wanted to like this and I think it was working well, but I don't know that I can continue using it when it is this uncomfortable due to the bunching.",2
129179,"I've been looking for the best skull I could find  and I'm glad this was the one I picked great size nice chain to this came faster than anything I've ever ordered from anyone ,  so if your looking for quality at a great price and  great service to this is it.",5
824575,The fit is small. I usually wear a medium and based on other reviews I bought and XXL and it fits. The colors are just like the picture and just love it.  I'm 5'2 and length is a little on the short side; wore as a beach cover up.,4
663400,"Case is too small for glasses and has damage. This is the second pair of frames I purchased from this supplier and the last. The first pair did not fit properly and looked like one of the arms was loose. They charged me 8% or $26 to return, just found that out after I received my second pair of frames from them today.",1
354207,"This is an amazingly beautiful tutu and perfect for bicycle tutu tours.  I""m a generally medium sized woman and the tutu was slightly large around the waist.  But that might have been all for the best, considering the activity.  I think it would also look good glued to a helmet.",5
866453,"It fits a little bigger for my 3 year old. I ordered 4T to make sure that it is not too small. This is a good thing to make sure that he can use it in few months. Love the fabric and I recommend it. My toddler said that he likes the ""square"" checkered style and perfect color for him. I got this at a promotional price to give review for the product.",5
598311,"Overall a very nice, well made dress. However it's 2 sizes too small. I read all the reviews before purchasing and purposely ordered a size larger than I typically wear.. Still too small. Also, my dress came a week later than the promised delivery date. This item ships from China though, so maybe that's why.",3
881631,"Love the rain boots I got for my daughter. This the second pair I get from Stephen Joseph. I bought ones years ago for my son. They are just too cute and I love all of their designs and colors.
The boots are well made and they run a little bit big. I usually buy size 10 for my daughter but I followed the size chart from Stephen Joseph nonthe one from Amazon since that one is off. I bout her 9 and still runs a little big but there is some room to grow.
I definitely recommend it!",5
489983,"I have had my bracelet now for almost a week and I am more pleased with it than when it first arrived! I appreciate the style and quality of workmanship that went into the design and manufacturing of the bracelet.  If there was any thing I would have wanted it would have been instructions on how to remove links from the band. I guess I have small wrists and it would be nice to take a couple of links out of the band. Other than that ""small""  complaint I am totally satisfied with my purchase.",5
